=============== RESTART: C:/Users/蔡弘祥/Desktop/普物程式/HW3/HW3.py ==============
第 113 次的週期約為 6428 天;目前平均約為 6483 天
第 114 次的週期約為 6517 天;目前平均約為 6484 天
第 115 次的週期約為 6526 天;目前平均約為 6484 天
第 116 次的週期約為 6420 天;目前平均約為 6484 天
第 117 次的週期約為 6516 天;目前平均約為 6484 天
第 118 次的週期約為 6431 天;目前平均約為 6483 天
第 119 次的週期約為 6520 天;目前平均約為 6484 天
第 120 次的週期約為 6518 天;目前平均約為 6484 天
第 121 次的週期約為 6423 天;目前平均約為 6483 天
第 122 次的週期約為 6522 天;目前平均約為 6484 天
第 123 次的週期約為 6520 天;目前平均約為 6484 天
第 124 次的週期約為 6425 天;目前平均約為 6484 天
第 125 次的週期約為 6516 天;目前平均約為 6484 天
第 126 次的週期約為 6431 天;目前平均約為 6483 天
第 127 次的週期約為 6514 天;目前平均約為 6484 天
第 128 次的週期約為 6518 天;目前平均約為 6484 天
第 129 次的週期約為 6428 天;目前平均約為 6483 天
第 130 次的週期約為 6517 天;目前平均約為 6484 天
第 131 次的週期約為 6528 天;目前平均約為 6484 天
第 132 次的週期約為 6418 天;目前平均約為 6484 天
第 133 次的週期約為 6516 天;目前平均約為 6484 天
第 134 次的週期約為 6430 天;目前平均約為 6483 天
第 135 次的週期約為 6516 天;目前平均約為 6484 天
第 136 次的週期約為 6524 天;目前平均約為 6484 天
第 137 次的週期約為 6422 天;目前平均約為 6483 天
第 138 次的週期約為 6521 天;目前平均約為 6484 天
第 139 次的週期約為 6436 天;目前平均約為 6483 天
第 140 次的週期約為 6510 天;目前平均約為 6484 天
第 141 次的週期約為 6516 天;目前平均約為 6484 天
第 142 次的週期約為 6430 天;目前平均約為 6483 天
第 143 次的週期約為 6516 天;目前平均約為 6484 天
第 144 次的週期約為 6518 天;目前平均約為 6484 天
第 145 次的週期約為 6427 天;目前平均約為 6484 天
第 146 次的週期約為 6517 天;目前平均約為 6484 天
第 147 次的週期約為 6432 天;目前平均約為 6483 天
第 148 次的週期約為 6513 天;目前平均約為 6484 天
第 149 次的週期約為 6516 天;目前平均約為 6484 天
第 150 次的週期約為 6429 天;目前平均約為 6483 天
第 151 次的週期約為 6517 天;目前平均約為 6484 天
第 152 次的週期約為 6524 天;目前平均約為 6484 天
第 153 次的週期約為 6422 天;目前平均約為 6484 天
第 154 次的週期約為 6520 天;目前平均約為 6484 天
第 155 次的週期約為 6433 天;目前平均約為 6483 天
第 156 次的週期約為 6512 天;目前平均約為 6484 天
第 157 次的週期約為 6517 天;目前平均約為 6484 天
第 158 次的週期約為 6429 天;目前平均約為 6484 天
第 159 次的週期約為 6517 天;目前平均約為 6484 天
第 160 次的週期約為 6519 天;目前平均約為 6484 天
第 161 次的週期約為 6426 天;目前平均約為 6484 天
第 162 次的週期約為 6516 天;目前平均約為 6484 天
第 163 次的週期約為 6431 天;目前平均約為 6483 天
第 164 次的週期約為 6514 天;目前平均約為 6484 天
第 165 次的週期約為 6517 天;目前平均約為 6484 天
第 166 次的週期約為 6428 天;目前平均約為 6484 天
第 167 次的週期約為 6518 天;目前平均約為 6484 天
第 168 次的週期約為 6526 天;目前平均約為 6484 天
第 169 次的週期約為 6419 天;目前平均約為 6484 天
